[09-20 20:03:28] [info] config at /opt/lampp/htdocs/weprep {"remotePath":"/","uploadOnSave":true,"downloadOnOpen":false,"ignore":[],"concurrency":4,"protocol":"ftp","connectTimeout":10000,"interactiveAuth":false,"secure":false,"remoteTimeOffsetInHours":0,"name":"localhost","host":"104.156.59.17","port":21,"username":"******","password":"******"}
[09-20 20:10:03] [info] [file-save] /opt/lampp/htdocs/weprep/~/.vscode-root/Workspaces/1568736531420/workspace.json
[09-20 20:10:04] [info] local ➞ remote /opt/lampp/htdocs/weprep/~/.vscode-root/Workspaces/1568736531420/workspace.json
[09-20 20:14:21] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/addbilling.controller.php
[09-20 20:14:22] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/addclient.controller.php
[09-20 20:14:23] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/admin.css
[09-20 20:14:23] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/addproduct.controller.php
[09-20 20:14:23] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/adminclients.css
[09-20 20:14:23] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/adduser.controller.php
[09-20 20:14:24] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/adminproducts.css
[09-20 20:14:24] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/adminclients.controller.php
[09-20 20:14:28] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/adminusers.css
[09-20 20:14:29] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/adminproducts.controller.php
[09-20 20:14:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/bootstrap.min.css
[09-20 20:14:37] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/adminusers.controller.php
[09-20 20:14:42] [info] local ➞ remote /opt/lampp/htdocs/weprep/img/cd-icon-arrow-next.svg
[09-20 20:14:42] [info] local ➞ remote /opt/lampp/htdocs/weprep/index.php
[09-20 20:14:43] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/default.css
[09-20 20:14:44] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/deleteclient.controller.php
[09-20 20:14:44] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/datatables.css
[09-20 20:14:44] [info] local ➞ remote /opt/lampp/htdocs/weprep/lang/spanish.php
[09-20 20:14:45] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/FontAwesome.otf
[09-20 20:14:45] [info] local ➞ remote /opt/lampp/htdocs/weprep/img/cd-icon-select.svg
[09-20 20:15:10] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/font-awesome.min.css
[09-20 20:15:12] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/deleteproduct.controller.php
[09-20 20:15:12] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/datatables.js
[09-20 20:15:12] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/fontawesome-webfont.eot
[09-20 20:15:13] [info] local ➞ remote /opt/lampp/htdocs/weprep/img/cd-icons-cart-close.svg
[09-20 20:15:13] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/general.css
[09-20 20:15:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/deleteuser.controller.php
[09-20 20:15:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/datatables.min.css
[09-20 20:15:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/fontawesome-webfont.svg
[09-20 20:15:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/img/product-preview.png
[09-20 20:15:29] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/login.css
[09-20 20:15:30] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/login.controller.php
[09-20 20:15:31] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/datatables.min.js
[09-20 20:15:31] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/fontawesome-webfont.ttf
[09-20 20:15:33] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/reports.css
[09-20 20:15:34] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/logout.controller.php
[09-20 20:15:34] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/JSZip-2.5.0/jszip.js
[09-20 20:15:34] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/fontawesome-webfont.woff
[09-20 20:15:35] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/selling.css
[09-20 20:15:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/messages.controller.php
[09-20 20:15:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/JSZip-2.5.0/jszip.min.js
[09-20 20:15:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/fontawesome-webfont.woff2
[09-20 20:15:51] [info] local ➞ remote /opt/lampp/htdocs/weprep/css/shoppingCart.css
[09-20 20:15:52] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/reports.controller.php
[09-20 20:15:52] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/pdfmake-0.1.32/pdfmake.js
[09-20 20:15:52] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/glyphicons-halflings-regular.eot
[09-20 20:15:59] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/selling.controller.php
[09-20 20:15:59] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/pdfmake-0.1.32/pdfmake.min.js
[09-20 20:15:59] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/glyphicons-halflings-regular.svg
[09-20 20:16:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/controllers/sendemail.controller.php
[09-20 20:16:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/pdfmake-0.1.32/vfs_fonts.js
[09-20 20:16:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/glyphicons-halflings-regular.ttf
[09-20 20:16:06] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/models/admin.model.php
[09-20 20:16:06] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.bootstrap.css
[09-20 20:16:06] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/glyphicons-halflings-regular.woff
[09-20 20:16:07] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/models/db.model.php
[09-20 20:16:07] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.bootstrap.min.css
[09-20 20:16:07] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/glyphicons-halflings-regular.woff2
[09-20 20:16:08] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/models/user.model.php
[09-20 20:16:08] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.bootstrap4.css
[09-20 20:16:08] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Bold.eot
[09-20 20:16:10] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/admin.view.php
[09-20 20:16:10] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.bootstrap4.min.css
[09-20 20:16:10] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Bold.ttf
[09-20 20:16:11] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/adminclients.view.php
[09-20 20:16:11] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.dataTables.css
[09-20 20:16:11] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Bold.woff
[09-20 20:16:12] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/adminproducts.view.php
[09-20 20:16:13] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.dataTables.min.css
[09-20 20:16:13] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Bold.woff2
[09-20 20:16:14] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/adminusers.view.php
[09-20 20:16:14] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.foundation.css
[09-20 20:16:14] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Light.eot
[09-20 20:16:15] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/default.view.php
[09-20 20:16:15] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.foundation.min.css
[09-20 20:16:15] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Light.ttf
[09-20 20:16:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/kanban.view.php
[09-20 20:16:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.jqueryui.css
[09-20 20:16:16] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Light.woff
[09-20 20:16:17] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/login.view.php
[09-20 20:16:17] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.jqueryui.min.css
[09-20 20:16:17] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Light.woff2
[09-20 20:16:18] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/reports.view.php
[09-20 20:16:18] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.semanticui.css
[09-20 20:16:18] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Medium.eot
[09-20 20:16:20] [info] local ➞ remote /opt/lampp/htdocs/weprep/core/views/selling.view.php
[09-20 20:16:20] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/buttons.semanticui.min.css
[09-20 20:16:20] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Medium.ttf
[09-20 20:16:21] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/common.scss
[09-20 20:16:21] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Medium.woff
[09-20 20:16:22] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/css/mixins.scss
[09-20 20:16:22] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Medium.woff2
[09-20 20:16:23] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.bootstrap.js
[09-20 20:16:23] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Regular.eot
[09-20 20:16:24] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.bootstrap.min.js
[09-20 20:16:24] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Regular.ttf
[09-20 20:16:25] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.bootstrap4.js
[09-20 20:16:25] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Regular.woff
[09-20 20:16:25] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.bootstrap4.min.js
[09-20 20:16:25] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Regular.woff2
[09-20 20:16:26] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.colVis.js
[09-20 20:16:26] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Thin.eot
[09-20 20:16:27] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.colVis.min.js
[09-20 20:16:27] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Thin.ttf
[09-20 20:16:28] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.flash.js
[09-20 20:16:29] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Thin.woff
[09-20 20:16:29] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.flash.min.js
[09-20 20:16:29] [info] local ➞ remote /opt/lampp/htdocs/weprep/fonts/roboto/Roboto-Thin.woff2
[09-20 20:16:30] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.foundation.js
[09-20 20:16:30] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.foundation.min.js
[09-20 20:16:31] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.html5.js
[09-20 20:16:31] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.html5.min.js
[09-20 20:16:31] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.jqueryui.js
[09-20 20:16:32] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.jqueryui.min.js
[09-20 20:16:32] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.print.js
[09-20 20:16:32] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.print.min.js
[09-20 20:16:33] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.semanticui.js
[09-20 20:16:33] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/buttons.semanticui.min.js
[09-20 20:16:33] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/dataTables.buttons.js
[09-20 20:16:34] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/js/dataTables.buttons.min.js
[09-20 20:16:34] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Buttons-1.5.1/swf/flashExport.swf
[09-20 20:16:35] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.bootstrap.css
[09-20 20:16:35] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.bootstrap.min.css
[09-20 20:16:35] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.bootstrap4.css
[09-20 20:16:35] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.bootstrap4.min.css
[09-20 20:16:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.dataTables.css
[09-20 20:16:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.dataTables.min.css
[09-20 20:16:36] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.foundation.css
[09-20 20:16:37] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.foundation.min.css
[09-20 20:16:37] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.jqueryui.css
[09-20 20:16:37] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.jqueryui.min.css
[09-20 20:16:38] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.semanticui.css
[09-20 20:16:38] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/css/colReorder.semanticui.min.css
[09-20 20:16:38] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/js/dataTables.colReorder.js
[09-20 20:16:39] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/ColReorder-1.4.1/js/dataTables.colReorder.min.js
[09-20 20:16:39] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.bootstrap.css
[09-20 20:16:39] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.bootstrap.min.css
[09-20 20:16:39] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.bootstrap4.css
[09-20 20:16:40] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.bootstrap4.min.css
[09-20 20:16:40] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.foundation.css
[09-20 20:16:41] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.foundation.min.css
[09-20 20:16:42] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.jqueryui.css
[09-20 20:16:42] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.jqueryui.min.css
[09-20 20:16:43] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.semanticui.css
[09-20 20:16:43] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/dataTables.semanticui.min.css
[09-20 20:16:43] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/jquery.dataTables.css
[09-20 20:16:43] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/css/jquery.dataTables.min.css
[09-20 20:16:44] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/images/sort_asc.png
[09-20 20:16:44] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/images/sort_asc_disabled.png
[09-20 20:16:44] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/images/sort_both.png
[09-20 20:16:45] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/images/sort_desc.png
[09-20 20:16:45] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/images/sort_desc_disabled.png
[09-20 20:16:45] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.bootstrap.js
[09-20 20:16:46] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.bootstrap.min.js
[09-20 20:16:46] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.bootstrap4.js
[09-20 20:16:46] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.bootstrap4.min.js
[09-20 20:16:46] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.foundation.js
[09-20 20:16:47] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.foundation.min.js
[09-20 20:16:47] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.jqueryui.js
[09-20 20:16:48] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.jqueryui.min.js
[09-20 20:16:48] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.semanticui.js
[09-20 20:16:48] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/dataTables.semanticui.min.js
[09-20 20:16:51] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/jquery.dataTables.js
[09-20 20:16:51] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/DataTables-1.10.16/js/jquery.dataTables.min.js
[09-20 20:16:52] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.bootstrap.css
[09-20 20:16:52] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.bootstrap.min.css
[09-20 20:16:52] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.bootstrap4.css
[09-20 20:16:53] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.bootstrap4.min.css
[09-20 20:16:53] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.dataTables.css
[09-20 20:16:53] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.dataTables.min.css
[09-20 20:16:54] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.foundation.css
[09-20 20:16:54] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.foundation.min.css
[09-20 20:16:54] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.jqueryui.css
[09-20 20:16:54] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.jqueryui.min.css
[09-20 20:16:55] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.semanticui.css
[09-20 20:16:55] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/css/fixedColumns.semanticui.min.css
[09-20 20:16:55] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/js/dataTables.fixedColumns.js
[09-20 20:16:56] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedColumns-3.2.4/js/dataTables.fixedColumns.min.js
[09-20 20:16:56] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.bootstrap.css
[09-20 20:16:56] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.bootstrap.min.css
[09-20 20:16:57] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.bootstrap4.css
[09-20 20:16:57] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.bootstrap4.min.css
[09-20 20:16:57] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.dataTables.css
[09-20 20:16:57] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.dataTables.min.css
[09-20 20:16:58] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.foundation.css
[09-20 20:16:58] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.foundation.min.css
[09-20 20:16:58] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.jqueryui.css
[09-20 20:16:59] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.jqueryui.min.css
[09-20 20:16:59] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.semanticui.css
[09-20 20:16:59] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/css/fixedHeader.semanticui.min.css
[09-20 20:17:00] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/js/dataTables.fixedHeader.js
[09-20 20:17:00] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/FixedHeader-3.1.3/js/dataTables.fixedHeader.min.js
[09-20 20:17:00] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.bootstrap.css
[09-20 20:17:00] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.bootstrap.min.css
[09-20 20:17:01] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.bootstrap4.css
[09-20 20:17:01] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.bootstrap4.min.css
[09-20 20:17:02] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.dataTables.css
[09-20 20:17:02] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.dataTables.min.css
[09-20 20:17:02] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.foundation.css
[09-20 20:17:03] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.foundation.min.css
[09-20 20:17:03] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.jqueryui.css
[09-20 20:17:03] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.jqueryui.min.css
[09-20 20:17:03] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.semanticui.css
[09-20 20:17:04] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/css/responsive.semanticui.min.css
[09-20 20:17:04] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/dataTables.responsive.js
[09-20 20:17:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/dataTables.responsive.min.js
[09-20 20:17:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/responsive.bootstrap.js
[09-20 20:17:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/responsive.bootstrap.min.js
[09-20 20:17:05] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/responsive.bootstrap4.js
[09-20 20:17:06] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/responsive.bootstrap4.min.js
[09-20 20:17:06] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/responsive.foundation.js
[09-20 20:17:06] [info] local ➞ remote /opt/lampp/htdocs/weprep/dataTables/Responsive-2.2.1/js/responsive.foundation.min.js
